0,1,2,3,4,5
For the year ended 31 March,Note,2023,2022,2023,2022
In Rs.'000s,,,,,
Continuing operations,,,,,
Revenue from contracts with customers,,"260,687,372","202,849,175","2,543,712","1,875,722"
Revenue from insurance contracts,,"15,952,535","15,225,571",-,-
Total revenue,14,"276,639,907","218,074,746","2,543,712","1,875,722"
Cost of sales,,"(227,190,277)","(180,430,008)","(1,166,753)","(1,085,049)"
Gross profit,,"49,449,630","37,644,738","1,376,959","790,673"
Dividend income,15,-,-,"10,635,000","8,007,649"
Other operating income,16.1,"3,260,621","2,614,793","41,219","51,344"
Selling and distribution expenses,,"(8,266,060)","(5,732,694)",-,-
Administrative expenses,,"(21,927,758)","(14,762,643)","(2,087,177)","(1,283,215)"
Other operating expenses,16.2,"(9,825,773)","(12,456,008)","(748,154)","(514,478)"
Results from operating activities,,"12,690,660","7,308,186","9,217,847","7,051,973"
Finance cost,17,"(17,802,868)","(7,034,757)","(8,778,825)","(2,966,139)"
Finance income,17,"26,899,776","30,806,179","16,327,902","24,198,282"
Change in insurance contract liabilities,36.2,"(7,650,232)","(6,416,299)",-,-
Change in fair value of investment property,24,"878,538","(4,084,755)",-,-
Share of results of equity accounted investees (net of tax),27.3,"7,573,543","6,745,939",-,-
Profit before tax,18,"22,589,417","27,324,493","16,766,924","28,284,116"
Tax expense,21.1,"(3,693,293)","(6,881,586)","(2,057,640)","(3,902,709)"
Profit for the year,,"18,896,124","20,442,907","14,709,284","24,381,407"
Attributable to:,,,,,
Equity holders of the parent,,"18,173,868","20,212,968",,
Non-controlling interests,,"722,256","229,939",,
,,"18,896,124","20,442,907",,
