0,1,2,3,4,5,6,7,8,9,10
31 March,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Rs. Mn,,,,,,,,,,
OPERATING RESULTS,,,,,,,,,,
Group revenue,"276,640","218,075","127,676","138,956","135,456","121,215","106,273","93,710","91,852","86,706"
EBIT,"40,392","34,359","7,931","15,508","20,198","28,155","23,324","20,192","19,226","16,537"
Finance cost,"(17,803)","(7,035)","(4,669)","(3,166)","(2,722)",(521),(436),(994),(668),"(1,217)"
Share of results of equity accounted,"7,574","6,746","4,159","4,466","4,727","3,596","3,303","2,781","2,778","3,089"
investees (net of tax),,,,,,,,,,
Profit before tax,"22,589","27,324","5,445","12,403","18,616","27,634","22,888","19,198","18,557","15,320"
Tax expense,"(3,693)","(6,882)","(1,494)","(2,662)","(2,378)","(4,515)","(4,771)","(3,406)","(2,812)","(2,362)"
Profit after tax,"18,896","20,443","3,951","9,741","16,237","23,120","18,117","15,792","15,745","12,958"
Attributable to:,,,,,,,,,,
Equity holders of the parent,"18,174","20,213","4,772","9,414","15,254","21,021","16,275","14,070","14,348","11,721"
Non-controlling interests,722,230,(821),327,983,"2,099","1,842","1,722","1,397","1,237"
,"18,896","20,443","3,951","9,741","16,237","23,120","18,117","15,792","15,745","12,958"
CAPITAL EMPLOYED,,,,,,,,,,
Stated capital,"73,188","73,188","63,102","62,881","62,806","62,802","62,790","58,702","50,703","49,749"
Capital reserves and other components,"146,091","129,011","72,403","66,085","58,646","49,852","38,652","28,715","24,501","21,845"
of equity,,,,,,,,,,
Revenue reserves,"121,743","109,087","90,652","87,885","82,834","87,266","77,193","67,565","62,594","51,304"
,"341,022","311,286","226,157","216,851","204,286","199,920","178,635","154,982","137,798","122,898"
Non-controlling interest,"19,396","18,805","16,830","26,872","26,072","24,944","15,696","13,499","12,279","11,421"
Total equity,"360,418","330,091","242,987","243,723","230,358","224,864","194,331","168,481","150,077","134,319"
Total debt,"264,060","268,228","172,904","100,907","54,513","29,722","22,766","20,750","23,934","26,139"
,"624,478","598,319","415,891","344,630","284,871","254,586","217,097","189,231","174,011","160,458"
ASSETS EMPLOYED,,,,,,,,,,
"Property, plant and equipment (PP&E)","362,097","124,348","113,077","111,534","97,688","87,260","64,396","52,737","49,563","47,406"
Non-current assets other than PP&E,"199,604","354,518","257,226","204,360","170,687","136,427","107,912","93,376","78,030","71,969"
Current assets,"182,806","238,929","166,491","121,050","95,421","98,762","104,964","94,863","90,493","82,206"
Liabilities net of debt,"(120,028)","(119,476)","(120,903)","(92,314)","(78,925)","(67,862)","(60,175)","(51,745)","(44,075)","(41,123)"
,"624,478","598,319","415,891","344,630","284,871","254,587","217,097","189,231","174,011","160,458"
CASH FLOW,,,,,,,,,,
Net cash flows from operating activities,"13,281","30,440","13,825","(10,350)","(4,743)","16,012","21,020","20,513","20,855","8,041"
Net cash flows from / (used in) investing,"(78,889)","39,363","(44,944)","(27,039)","(8,452)","(16,640)","(17,670)","(9,567)","(1,255)","(19,710)"
activities,,,,,,,,,,
Net cash flows from / (used in) financing,"(28,646)","31,693","55,427","18,431","(11,000)","(4,587)","(4,105)","(7,717)","(4,838)","25,446"
activities,,,,,,,,,,
Net increase / (decrease) in cash and cash,"(94,254)","101,495","24,308","(18,959)","(14,709)","(5,215)",(755),"3,229","14,762","13,777"
equivalents,,,,,,,,,,
KEY INDICATORS,,,,,,,,,,
Basic earnings per share (Rs.),13.12,15.13,3.62,7.14,11.13,15.2,11.9,10.5,12.6,10.5
Interest cover (no. of times),2.3,4.9,1.7,4.9,7.8,54,52.8,51.5,27.7,13.6
Net assets per share* (Rs.),246.2,224.8,163.3,156.6,147.5,144.4,129.0,111.9,99.5,88.7
Enterprise value (EV),"357,609","311,951","244,679","186,236","210,020","187,926",136.022,"124,182","155,675","124,182"
EV / EBITDA,7.7,10.7,15.7,9.2,8.5,5.8,5.0,5.0,6.6,10.0
ROE (%),5.6,7.5,2.2,4.5,7.5,11.1,9.8,9.6,11.0,11.0
Debt / equity ratio (%),73.3,81.3,71.2,41.4,23.7,13.2,11.7,12.3,15.9,19.5
Net debt excl. leases (cash)/Equity (%),35.91,23.5,20.0,14.0,1.9,(14.9),(28.5),(30.8),(28.8),(23.2)
Dividend payout (Rs.Mn),"2,770","2,012","1,978","4,614","8,186","8,325","7,280","8,038","3,476","3,267"
Current ratio (no. of times),2.0,1.8,2.3,2.1,1.7,3.0,3.7,4.0,2.6,2.4
Market price per share unadjusted (Rs.),140.0,145.0,148.5,115.4,156.0,159.6,137.9,148.0,199.4,227.0
Market price per share diluted (Rs.),140.0,145.0,148.5,115.4,156.0,159.6,137.9,129.5,152.7,173.8
Revenue growth rate (%),26.9,70.8,(8.1),2.6,11.8,14.1,13.4,1.6,5.9,4.1
USD closing rate (Rs.),329.5,305.0,200.3,189.6,175.5,155.9,151.9,147.7,133.5,130.7
USD average rate (Rs.),360.4,208.3,189.0,179.4,168.6,153.6,148.0,139.2,131.2,130.1
