0,1,2,3,4,5,6,7,8,9,10
EV / EBITDA,9 .4,8.5,5.8,5.0,5.0,6.6,10.0,10.0,13.1,13.1
ROE (%),4.5,7.5,11.1,9.8,9.6,11. 0,11.0,15.0,14.7,15.1
Debt / equity ratio (%),41.4,23.7,13.2,11.7,12.3,15.9,19.5,19.9,25.0,21.8
Dividend payout (Rs. Mn),"4,614","8,186","8,325","7,280","8,038","3,476","3,267","2,982","2,314","1,844"
Current ratio (no. of times),2.1,1.7,3.0,3.7,4.0,2.6,2.4,2.0,2.0,1.8
Market price per share unadjusted (Rs.),115.4,156.0,159.6,137.9,148.0,199.4,227.0,247.0,206.0,285.6
Market price per share diluted (Rs.),115.4,156.0,159.6,137.9,129.5,192.7,173.8,238.2,152.6,34.6
Revenue growth rate (%),3.4,11.8,14.1,13.4,1.6,5.9,4.1,9.7,25.5,26.1
USD closing rate (Rs.),189.6,175.5,155.9,151.9,147.7,133.5,130.7,126.8,128.1,110.4
USD average rate (Rs.),179.4,168.6,153.6,148.0,139.2,131.2,130.1,129.9,112.6,112.1
