0,1,2,3,4,5
In Rs.'000s,,GROUP,,COMPANY,
For the year ended 31 March,Note,2024,2023,2024,2023
Continuing operations,,,,,
Revenue from contracts with customers,,"262,338,375","260,687,372","2,916,390","2,543,712"
Revenue from insurance contracts,,"18,434,229","15,952,535",-,-
Total revenue,14,"280,772,604","276,639,907","2,916,390","2,543,712"
Cost of sales,,"(226,490,684)","(227,534,456)","(1,782,895)","(1,510,932)"
Gross profit,,"54,281,920","49,105,451","1,133,495","1,032,780"
Dividend income,15,-,-,"11,503,190","10,635,000"
Other operating income,16.1,"4,510,417","3,260,621","125,268","41,219"
Selling and distribution expenses,,"(10,062,663)","(8,266,060)",-,-
Administrative expenses,,"(25,172,004)","(21,583,579)","(2,233,541)","(1,742,998)"
Other operating expenses,16.2,"(8,188,312)","(9,825,773)","(86,595)","(748,154)"
Results from operating activities,,"15,369,358","12,690,660","10,441,817","9,217,847"
Finance cost,17,"(19,668,851)","(17,802,868)","(11,970,541)","(8,778,825)"
Finance income,17,"22,567,639","26,899,776","5,787,333","16,327,902"
Change in insurance contract liabilities,36.2,"(10,833,328)","(7,650,232)",-,-
Change in fair value of investment properties,24,"450,092","878,538",-,-
Share of results of equity accounted investees (net of tax),27.3,"10,129,014","7,573,543",-,-
Profit before tax,18,"18,013,924","22,589,417","4,258,609","16,766,924"
Tax expense,21.1,"(5,886,390)","(3,693,293)","(6,296)","(2,057,640)"
Profit for the year,,"12,127,534","18,896,124","4,252,313","14,709,284"
Attributable to:,,,,,
Equity holders of the parent,,"11,248,152","18,173,868",,
Non-controlling interests,,"879,382","722,256",,
,,"12,127,534","18,896,124",,
,,Rs.,Rs.,,
Earnings per share,,,,,
Basic,19.1,8.06,13.12,,
Diluted,19.2,8.04,13.12,,
Dividend per share,20,1.50,2.00,,
