0,1,2,3,4,5
For the year ended 31 March,Note,2021,2020,2021,2020
In LKR '000s,,,,,
Continuing operations,,,,,
Revenue from contracts with customers,,"114,454,483","127,834,824","1,637,063","1,462,190"
Revenue from insurance contracts,,"13,221,167","11,120,928",-,-
Total revenue,14,"127,675,650","138,955,752","1,637,063","1,462,190"
Cost of sales,,"(108,747,058)","(112,874,121)","(957,490)","(995,038)"
Gross profit,,"18,928,592","26,081,631","679,573","467,152"
Dividend income,15,-,-,"8,346,260","6,367,610"
Other operating income,16.1,"2,626,544","2,241,751","40,610","45,737"
Selling and distribution expenses,,"(4,761,037)","(5,518,526)",-,-
Administrative expenses,,"(12,927,716)","(13,143,112)","(1,050,270)","(1,186,005)"
Other operating expenses,16.2,"(1,314,409)","(2,872,908)","(21,473)","(25,939)"
Results from operating activities,,"2,551,974","6,788,836","7,994,700","5,668,555"
Finance cost,17,"(4,669,206)","(3,165,519)","(1,244,941)","(237,046)"
Finance income,17,"10,688,722","9,357,342","4,617,329","3,822,342"
Change in insurance contract liabilities,36.2,"(7,031,692)","(5,617,431)",-,-
Change in fair value of investment property,24,"(253,425)","573,373",-,-
Share of results of equity accounted investees (net of tax),27.3,"4,158,793","4,466,457",-,-
Profit before tax,,"5,445,166","12,403,058","11,367,088","9,253,851"
Tax expense,21.1,"(1,494,275)","(2,662,263)","(801,201)","(614,311)"
Profit for the year,,"3,950,891","9,740,795","10,565,887","8,639,540"
Attributable to:,,,,,
Equity holders of the parent,,"4,772,100","9,413,788",,
Non-controlling interests,,"(821,209)","327,007",,
,,"3,950,891","9,740,795",,
