0,1,2,3,4,5
For the year ended 31 March,Note,2022,2021,2022,2021
In Rs.'000s,,,,,
Continuing operations,,,,,
Revenue from contracts with customers,,"202,849,175","114,454,483","1,875,722","1,637,063"
Revenue from insurance contracts,,"15,225,571","13,221,167",-,-
Total revenue,14,"218,074,746","127,675,650","1,875,722","1,637,063"
Cost of sales,,"(180,430,008)","(108,747,058)","(1,085,049)","(957,490)"
Gross profit,,"37,644,738","18,928,592","790,673","679,573"
Dividend income,15,-,-,"8,007,649","8,346,260"
Other operating income,16.1,"2,614,793","2,626,544","51,344","40,610"
Selling and distribution expenses,,"(5,732,694)","(4,761,037)",-,-
Administrative expenses,,"(14,762,643)","(12,927,716)","(1,283,215)","(1,050,270)"
Other operating expenses,16.2,"(12,456,008)","(1,314,409)","(514,478)","(21,473)"
Results from operating activities,,"7,308,186","2,551,974","7,051,973","7,994,700"
Finance cost,17,"(7,034,757)","(4,669,206)","(2,966,139)","(1,244,941)"
Finance income,17,"30,806,179","10,688,722","24,198,282","4,617,329"
Change in insurance contract liabilities,36.2,"(6,416,299)","(7,031,692)",-,-
Change in fair value of investment property,24,"(4,084,755)","(253,425)",-,-
Share of results of equity accounted investees (net of tax),27.3,"6,745,939","4,158,793",-,-
Profit before tax,,"27,324,493","5,445,166","28,284,116","11,367,088"
Tax expense,21.1,"(6,881,586)","(1,494,275)","(3,902,709)","(801,201)"
Profit for the year,,"20,442,907","3,950,891","24,381,407","10,565,887"
Attributable to:,,,,,
Equity holders of the parent,,"20,212,968","4,772,100",,
Non-controlling interests,,"229,939","(821,209)",,
,,"20,442,907","3,950,891",,
