0,1,2,3,4
,31 March 2022,,31 March 2021,
,Number of,%,Number of,%
,shares,,shares,
Paints and General Industries Limited,"140,437,428",10.14,"114,977,303",8.71
Mr S E Captain,"134,220,895",9.69,"150,769,641",11.42
Melstacorp PLC,"128,917,111",9.31,"128,917,111",9.77
HWIC Asia Fund,"119,200,760",8.61,"39,250,982",2.97
Asian Development Bank,"65,042,006",4.70,-,-
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,"61,904,939",4.47,"141,854,717",10.75
Schroder International Selection Fund,"41,974,590",3.03,"42,475,806",3.22
Mr R S Captain,"34,405,091",2.48,"35,544,282",2.69
Norges Bank Account 2,"31,901,605",2.30,"31,706,807",2.40
Aberdeen Standard Asia Focus PLC,"28,123,572",2.03,"23,873,572",1.81
Mr Kandiah Balendra,"19,511,476",1.41,"19,511,476",1.48
Employees Trust Fund Board,"18,499,897",1.34,"18,709,833",1.42
Fidelity Fund - Pacific,"17,880,904",1.29,"17,880,904",1.35
Mrs C S De Fonseka,"17,472,745",1.26,"16,952,586",1.28
Mrs S A J De Fonseka,"15,204,230",1.10,"15,204,230",1.15
Edgbaston Asian Equity Trust,"15,142,109",1.09,"14,809,382",1.12
Chemanex PLC,"12,605,234",0.91,"11,417,835",0.87
Sri Lanka Insurance Corporation Limited - Life Fund,"12,270,665",0.89,-,-
Mr K N J Balendra,"10,907,628",0.79,"10,907,628",0.83
Schroder Asian Growth Fund,"10,328,047",0.75,"10,328,047",0.78
