0,1,2,3,4
Top Twenty Shareholders of the Company,,,,
,31 March 2024,,31 March 2023,
,Number of,%,Number of,%
,shares,,shares,
HWIC Asia Fund,"291,105,699",19.42,"119,200,760",8.61
Melstacorp PLC,"128,917,111",8.60,"128,917,111",9.31
Mr S E Captain,"122,615,194",8.18,"134,044,705",9.68
Paints & General Industries Limited,"87,021,832",5.81,"100,717,931",7.27
CIC Holdings PLC,"85,365,926",5.70,"35,338,032",2.55
Asian Development Bank,"65,042,006",4.34,"65,042,006",4.70
Schroder International Selection Fund,"44,418,290",2.96,"44,418,290",3.21
Aberdeen Standard Asia Focus PLC,"35,038,572",2.34,"33,398,572",2.41
Norges Bank Account 2,"33,087,774",2.21,"31,901,605",2.30
Polypak Secco Limited,"31,587,170",2.11,"14,937,924",1.08
Mr Kandiah Balendra,"19,511,476",1.30,"19,511,476",1.41
Mrs C S De Fonseka,"17,606,991",1.17,"17,606,991",1.27
Emrevival Master Fund LP,"15,983,048",1.07,-,-
Mrs S A J De Fonseka,"15,254,730",1.02,"15,204,230",1.10
Hostplus Pooled Superannuation Trust,"15,152,416",1.01,"10,393,158",0.75
Chemanex PLC,"15,064,515",1.01,"13,105,475",0.95
Edgbaston Asian Equity Trust,"14,209,110",0.95,"17,520,023",1.27
Employees Trust Fund Board,"12,989,299",0.87,"18,499,897",1.34
Sunsuper Superannuation Fund,"12,964,947",0.87,"11,587,196",0.84
Mr K N J Balendra,"10,907,628",0.73,"10,907,628",0.79
