0,1,2,3,4,5,6,7,8,9,10
In Rs. Mn,,,,,,,,,,
31 March,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
OPERATING RESULTS,,,,,,,,,,
Group revenue,"280,773","276,640","218,075","127,676","138,956","135,456","121,215","106,273","93,710","91,852"
EBIT,"37,683","40,392","34,359","7,931","15,508","20,198","28,155","23,324","20,192","19,226"
Finance cost,"(19,669)","(17,803)","(7,035)","(4,669)","(3,166)","(2,722)",(521),(436),(994),(668)
Share of results of equity accounted,"10,129","7,574","6,746","4,159","4,466","4,727","3,596","3,303","2,781","2,778"
investees (net of tax),,,,,,,,,,
Profit before tax,"18,014","22,589","27,324","5,445","12,403","18,616","27,634","22,888","19,198","18,557"
Tax expense,"(5,886)","(3,693)","(6,882)","(1,494)","(2,662)","(2,378)","(4,515)","(4,771)","(3,406)","(2,812)"
Profit after tax,"12,128","18,896","20,443","3,951","9,741","16,237","23,120","18,117","15,792","15,745"
Attributable to:,,,,,,,,,,
Equity holders of the parent,"11,249","18,174","20,213","4,772","9,414","15,254","21,021","16,275","14,070","14,348"
Non-controlling interests,879,722,230,(821),327,983,"2,099","1,842","1,722","1,397"
,"12,128","18,896","20,443","3,951","9,741","16,237","23,120","18,117","15,792","15,745"
CAPITAL EMPLOYED,,,,,,,,,,
Stated capital,"90,602","73,188","73,188","63,102","62,881","62,806","62,802","62,790","58,702","50,703"
Capital reserves and other components,"136,453","146,091","129,011","72,403","66,085","58,646","49,852","38,652","28,715","24,501"
of equity,,,,,,,,,,
Revenue reserves,"130,812","121,743","109,087","90,652","87,885","82,834","87,266","77,193","67,565","62,594"
,"357,867","341,022","311,286","226,157","216,851","204,286","199,920","178,635","154,982","137,798"
Non-controlling interest,"19,609","19,396","18,805","16,830","26,872","26,072","24,944","15,696","13,499","12,279"
Total equity,"377,476","360,418","330,091","242,987","243,723","230,358","224,864","194,331","168,481","150,077"
Total debt,"246,065","264,060","268,228","172,904","100,907","54,513","29,722","22,766","20,750","23,934"
,"623,541","624,478","598,319","415,891","344,630","284,871","254,586","217,097","189,231","174,011"
ASSETS EMPLOYED,,,,,,,,,,
"Property, plant and equipment (PP&E)","382,989","362,097","124,348","113,077","111,534","97,688","87,260","64,396","52,737","49,563"
Non-current assets other than PP&E,"214,092","199,604","354,518","257,226","204,360","170,687","136,427","107,912","93,376","78,030"
Current assets,"174,110","182,806","238,929","166,491","121,050","95,421","98,762","104,964","94,863","90,493"
Liabilities net of debt,"(147,650)","(120,028)","(119,476)","(120,903)","(92,314)","(78,925)","(67,862)","(60,175)","(51,745)","(44,075)"
,"623,541","624,478","598,319","415,891","344,630","284,871","254,587","217,097","189,231","174,011"
CASH FLOW,,,,,,,,,,
Net cash flows from operating activities,"32,751","11,444","30,440","13,825","(10,350)","(4,743)","16,012","21,020","20,513","20,855"
Net cash flows from / (used in) investing,"(60,081)","(78,889)","39,363","(44,944)","(27,039)","(8,452)","(16,640)","(17,670)","(9,567)","(1,255)"
activities,,,,,,,,,,
Net cash flows from / (used in) financing,"(3,040)","(26,810)","31,693","55,427","18,431","(11,000)","(4,587)","(4,105)","(7,717)","(4,838)"
activities,,,,,,,,,,
Net increase / (decrease) in cash and cash,"(30,370)","(94,254)","101,495","24,308","(18,959)","(14,709)","(5,215)",(755),"3,229","14,762"
equivalents,,,,,,,,,,
KEY INDICATORS,,,,,,,,,,
Basic earnings per share (Rs.),8.06,13.12,15.13,3.62,7.14,11.13,15.2,11.9,10.5,12.6
Interest cover (no. of times),1.9,2.3,4.9,1.7,4.9,7.8,54,52.8,51.5,27.7
Net assets per share* (Rs.),238.8,227.5,207.7,150.9,144.7,136.3,133.4,119.2,103.4,91.9
Enterprise value (EV) (Rs.),"450,008","357,609","311,951","244,679","186,236","210,020","187,926","136,022","124,182","155,675"
EV / EBITDA,11,7.7,10.7,15.7,9.2,8.5,5.8,5.0,5.0,6.6
ROE (%),3.2,5.6,7.5,2.2,4.5,7.5,11.1,9.8,9.6,11.0
Debt / equity ratio (%),65.2,73.3,81.3,71.2,41.4,23.7,13.2,11.7,12.3,15.9
Net debt excl. leases (cash)/Equity (%),33.7,35.9,23.5,20.0,14.0,1.9,(14.9),(28.5),(30.8),(28.8)
Dividend payout (Rs.Mn),"2,080","2,770","2,012","1,978","4,614","8,186","8,325","7,280","8,038","3,476"
Current ratio (no. of times),1.3,2.0,1.8,2.3,2.1,1.7,3.0,3.7,4.0,2.6
Market price per share unadjusted (Rs.),194.0,140.0,145.0,148.5,115.4,156.0,159.6,137.9,148.0,199.4
Market price per share diluted (Rs.),194.0,140.0,145.0,148.5,115.4,156.0,159.6,137.9,129.5,152.7
Revenue growth rate (%),1.5,26.9,70.8,(8.1),2.6,11.8,14.1,13.4,1.6,5.9
USD closing rate (Rs.),300.4,329.5,305.0,200.3,189.6,175.5,155.9,151.9,147.7,133.5
USD average rate (Rs.),318.1,360.4,208.3,189.0,179.4,168.6,153.6,148.0,139.2,131.2
